index pageHits pageSize inLinks outLinks
 1 373557 1347707 0 1 
 2 40752 238276 3 6 
 3 184591 632237 114 60 
 4 77 21915 0 1 
 5 48762 648057 32 47 
 6 2261 167372 0 1 
 7 12 24022 0 1 
 8 13823 136323 30 45 
 9 20196 260177 3 19 
 10 1082 68474 0 1 
 11 4889 126955 4 27 
 12 636 39391 0 1 
 13 1254 762000 0 1 
 14 616 31942 0 1 
 15 505 95397 0 1 
 16 394 383128 0 1 
 18 702 55117 0 1 
 23 558 32172 0 1 
 24 4265 88680 6 12 
 25 563 155271 0 1 
 26 489 70269 0 1 
 27 535 24371 0 1 
 28 478 44030 0 1 
 29 482 66864 0 1 
 30 554 31475 0 1 
 31 458 31208 0 1 
 32 468 26220 0 1 
 33 440 35424 0 1 
 34 463 29415 0 1 
 35 453 30332 0 1 
 36 483 31989 0 1 
 37 494 46047 0 1 
 38 522 96483 0 1 
 39 499 50359 0 1 
 40 586 53425 0 1 
 41 466 96369 0 1 
 42 519 78554 0 1 
 43 1399 32032 0 1 
 44 854 127980 12 1 
 45 13856 172104 10 31 
 46 494 27260 0 1 
 47 446 37059 0 1 
 48 477 37093 0 1 
 49 402 34828 0 1 
 50 541 35208 0 1 
 51 467 34558 0 1 
 52 397 29359 0 1 
 53 277 118021 0 1 
 54 526 25903 0 1 
 55 483 25800 0 1 
 57 413 85426 0 1 
 58 413 42621 0 1 
 59 287 29769 0 1 
 60 502 37961 0 1 
 63 767 28849 0 1 
 64 481 29155 0 1 
