page_id page_hits page_size
1 373557 1347707
2 40752 238276
3 184591 632237
4 77 21915
5 48762 648057
6 2261 167372
7 12 24022
8 13823 136323
9 20196 260177
10 1082 68474
11 4889 126955
12 636 39391
13 1254 762000
14 616 31942
15 505 95397
16 394 383128
18 702 55117
23 558 32172
24 4265 88680
25 563 155271
26 489 70269
27 535 24371
28 478 44030
29 482 66864
30 554 31475
31 458 31208
32 468 26220
33 440 35424
34 463 29415
35 453 30332
36 483 31989
37 494 46047
38 522 96483
39 499 50359
40 586 53425
41 466 96369
42 519 78554
43 1399 32032
44 854 127980
